instnm,Brown University,Columbia University in the City of New York,Cornell University,Dartmouth College,Harvard University,Princeton University,University of Pennsylvania,Yale University
Are intercollegiate athletic expenses accounted for as auxiliary enterprises or treated as student services? (FLAGS2016),2,2,2,2,1,2,1,2
Total number of undergraduates - fall cohort (SFA1516_RV),6652,8102,14315,4307,10255,5402,11588,5532
Total price for out-of-state students living on campus 2016-17 (DRVIC2016),68106,71785,67613,69474,66900,63690,69340,68950
Academic support-Total amount (F1415_F2_RV),132909000,117335000,224928696,270848691,780564000,213421000,814351000,364525470
Student service-Total amount (F1415_F2_RV),65841000,135583000,150599410,86419834,194793000,121978000,78440000,320667586
Institutional support-Total amount (F1415_F2_RV),97122000,294582000,336838647,101124779,735606000,171501000,273648000,230285866
Auxiliary enterprises-Total amount (F1415_F2_RV),101041000,183395000,222308737,85468607,547275000,89092000,139803000,0
Net grant aid to students-Total amount (F1415_F2_RV),14968000,0,46574614,0,135693000,55322000,0,91328426
Hospital services-Total amount (F1415_F2_RV),0,0,0,0,0,0,3388381000,0
Independent operations-Total Amount (F1415_F2_RV),0,0,0,0,0,119488000,66633000,0
Operation and maintenance of plant-Total amount (F1415_F2_RV),0,0,0,0,0,0,0,0
Total expenses-Total amount (F1415_F2_RV),825925000,3800891000,2119348796,907629465,4463089000,1541620000,6723115000,3187608000
Total number of undergraduates - fall cohort (SFA1415_RV),6548,8100,14269,4289,10338,5391,11548,5477
Total price for out-of-state students living on campus 2015-16 (DRVIC2015),65380,69084,65494,67044,64400,61160,66800,66445
Academic support-Total amount (F1314_F2_RV),100490000,116073000,196970691,257280377,858832000,183989000,765729000,365452911
Student service-Total amount (F1314_F2_RV),64065000,130619000,131571899,81079085,190796000,136744000,77802000,317530233
Institutional support-Total amount (F1314_F2_RV),97933000,249704000,297996925,97159122,721242000,153910000,287234000,216035938
Auxiliary enterprises-Total amount (F1314_F2_RV),99866000,172967000,175595635,83659054,535172000,143353000,137105000,0
Net grant aid to students-Total amount (F1314_F2_RV),7355000,0,44472045,0,129974000,37850000,0,90418467
Hospital services-Total amount (F1314_F2_RV),0,0,0,0,0,0,3101443000,0
Independent operations-Total Amount (F1314_F2_RV),0,0,0,0,0,98323000,64048000,0
Operation and maintenance of plant-Total amount (F1314_F2_RV),0,0,0,0,0,0,0,0
Total expenses-Total amount (F1314_F2_RV),774578000,3605779000,1834267953,875660926,4405997000,1495230000,6348798000,3058920000
Total number of undergraduates - fall cohort (SFA1314_RV),6455,7970,14393,4276,10538,5323,11525,5430
Total price for out-of-state students living on campus 2014-15 (DRVIC2014),62694,66604,63606,65133,62250,58965,64200,63970
Academic support-Total amount (F1213_F2_RV),87579000,115700000,183546282,253095530,809487000,170446000,730075000,373211163
Student service-Total amount (F1213_F2_RV),50364000,115991000,133483118,80771689,180246000,121576000,70099000,297464176
Institutional support-Total amount (F1213_F2_RV),105387000,260323000,279244504,91174020,734290000,148653000,224311000,219252547
Auxiliary enterprises-Total amount (F1213_F2_RV),85170000,155175000,155302311,81954966,486292000,131251000,125221000,0
Net grant aid to students-Total amount (F1213_F2_RV),5901000,0,46264622,0,136360000,36637000,0,88522912
Hospital services-Total amount (F1213_F2_RV),0,0,0,0,0,0,2804080000,0
Independent operations-Total Amount (F1213_F2_RV),0,0,0,0,0,75316000,62723000,0
Operation and maintenance of plant-Total amount (F1213_F2_RV),0,0,0,0,0,0,0,0
Total expenses-Total amount (F1213_F2_RV),729782000,3460017000,1779141462,874486315,4248371000,1358553000,5896431000,2976132000
Total number of undergraduates - fall cohort (SFA1213_RV),6435,7814,14261,4193,10564,5327,11678,5405
Total price for out-of-state students living on campus 2013-14 (DRVIC2013_RV),60460,64144,61618,63279,59950,55832,61800,61620
Academic support-Total amount (F1112_F2_RV),84559000,102635000,176369281,234403525,776598000,168807000,732320000,271450391
Student service-Total amount (F1112_F2_RV),49659000,78874000,130484609,73550168,167611000,112352000,67917000,290268925
Institutional support-Total amount (F1112_F2_RV),95550000,254471000,298119259,86737229,657082000,143334000,211663000,241522631
Auxiliary enterprises-Total amount (F1112_F2_RV),85831000,181761000,140513987,66253349,478366000,115084000,126386000,0
Net grant aid to students-Total amount (F1112_F2_RV),4292000,0,42698999,0,128993000,35411000,0,88168724
Hospital services-Total amount (F1112_F2_RV),0,0,0,0,0,0,2826874000,0
Independent operations-Total Amount (F1112_F2_RV),0,0,0,0,0,82170000,65947000,0
Operation and maintenance of plant-Total amount (F1112_F2_RV),0,0,0,0,0,0,0,0
Total expenses-Total amount (F1112_F2_RV),704820000,3425061000,1752089548,793294350,4041698000,1317454000,5865047000,2816781148
Total number of undergraduates - fall cohort (SFA1112_RV),6380,8127,14167,4194,10305,5203,11765,5349
Total price for out-of-state students living on campus 2012-13 (DRVIC2012_RV),58140,61540,59591,61398,57050,54780,59600,59320
Academic support-Total amount (F1011_F2_RV),95583000,117229000,165412087,211804367,761577000,156615000,755284000,253840000
Student service-Total amount (F1011_F2_RV),42867000,72032000,116547717,70733032,150235000,107455000,65586000,345409000
Institutional support-Total amount (F1011_F2_RV),78117000,258560000,284306200,83817402,673424000,135718000,192909000,225211000
Auxiliary enterprises-Total amount (F1011_F2_RV),85424000,121330000,137547334,64970163,455075000,130005000,119926000,0
Net grant aid to students-Total amount (F1011_F2_RV),4395000,0,41851000,0,116510000,34296000,0,0
Hospital services-Total amount (F1011_F2_RV),0,0,0,0,0,0,2583378000,0
Independent operations-Total Amount (F1011_F2_RV),0,0,0,0,0,83392000,62197000,0
Operation and maintenance of plant-Total amount (F1011_F2_RV),0,0,0,0,0,0,0,0
Total expenses-Total amount (F1011_F2_RV),662508000,3314815000,1688761091,771085877,3907568000,1286513000,5557232000,2684014000
Total number of undergraduates - fall cohort (SFA1011_RV),6318,7940,13935,4248,10257,5142,11940,5310
Total price for out-of-state students living on campus 2011-12 (DRVIC2011_RV),56150,59208,57125,58638,56000,53934,57360,58250
Academic support-Total amount (F0910_F2_RV),82401000,111790000,164156895,219282484,738033000,145409000,729213000,223273823
Student service-Total amount (F0910_F2_RV),52189000,68747000,110542982,70815049,144371000,103260000,65168000,350620128
Institutional support-Total amount (F0910_F2_RV),83804000,253647000,259995724,82984877,636699000,131577000,183268000,276011677
Auxiliary enterprises-Total amount (F0910_F2_RV),87063000,119968000,129954508,65450024,433981000,124867000,122715000,0
Net grant aid to students-Total amount (F0910_F2_RV),5641000,0,35907035,0,122021000,32984000,0,0
Hospital services-Total amount (F0910_F2_RV),0,0,0,0,0,0,2407918000,0
Independent operations-Total Amount (F0910_F2_RV),0,0,0,0,0,81269000,60189000,0
Operation and maintenance of plant-Total amount (F0910_F2_RV),0,0,0,0,0,0,0,0
Total expenses-Total amount (F0910_F2_RV),658792000,3158488000,1616047278,755982448,3729582000,1235024000,5263101000,2572137000
Total number of undergraduates (SFA0910_RV),,,,,,,,
Total price for out-of-state students living on campus 2010-11 (DRVIC2010_RV),54370,56681,54676,55386,53950,52715,55250,55300
Academic support-Total amount (F0809_F2_RV),61644000,112452000,174992356,224549566,744877000,126152000,718638000,235575151
Student service-Total amount (F0809_F2_RV),53619000,67420000,114254970,73882828,138935000,98371000,51591000,347476898
Institutional support-Total amount (F0809_F2_RV),89928000,269054000,284881481,90195799,736917000,127829000,194903000,240287557
Auxiliary enterprises-Total amount (F0809_F2_RV),92943000,125979000,139716277,65873626,392768000,116126000,120276000,0
Net grant aid to students-Total amount (F0809_F2_RV),5077000,0,0,0,122479000,30909000,0,0
Hospital services-Total amount (F0809_F2_RV),0,0,0,0,0,0,2282962000,0
Independent operations-Total Amount (F0809_F2_RV),0,0,0,0,0,74962000,62034000,0
Operation and maintenance of plant-Total amount (F0809_F2_RV),0,0,0,0,0,0,0,0
Total expenses-Total amount (F0809_F2_RV),636547000,3061281000,1689355056,750012911,3756071000,1161660000,5015111000,2493475000
Total number of undergraduates (SFA0809_RV),,,,,,,,
Total price for out-of-state students living on campus 2009-10 (DRVIC2009_RV),52030,54294,52414,52973,52000,51260,53250,52950
Academic support-Total amount (F0708_F2_RV),56716000,113484000,182678260,218319262,669113000,110670000,677370000,216837000
Student service-Total amount (F0708_F2_RV),52564000,61556000,112184294,73445699,125025000,86451000,48775000,340662000
Institutional support-Total amount (F0708_F2_RV),92025000,238679000,264854131,89188788,625176000,128885000,198287000,202371000
Auxiliary enterprises-Total amount (F0708_F2_RV),86211000,125401000,137520658,67462842,417941000,104509000,115162000,0
Net grant aid to students-Total amount (F0708_F2_RV),5329000,0,0,0,110532000,28717000,0,0
Hospital services-Total amount (F0708_F2_RV),0,0,0,0,0,0,2105475000,0
Independent operations-Total Amount (F0708_F2_RV),0,0,0,0,0,70375000,63361000,0
Operation and maintenance of plant-Total amount (F0708_F2_RV),0,0,0,0,0,0,0,0
Total expenses-Total amount (F0708_F2_RV),606272000,2894809000,1680283612,725923396,3464893000,1050818000,4730825000,2314450000
Total number of undergraduates (SFA0708_RV),,,,,,,,
Total price for out-of-state students living on campus 2008-09 (DRVIC2008_RV),50560,51406,50384,50547,50250,49830,51299,51400
Academic support-Total amount (F0607_F2_RV),52069000,108118000,166410191,120939385,547443000,92306000,640358000,193048000
Student service-Total amount (F0607_F2_RV),52871000,55780000,103706894,61717146,111976000,79268000,46397000,311789000
Institutional support-Total amount (F0607_F2_RV),83318000,218887000,220647998,75414080,562255000,111078000,190233000,179471000
Auxiliary enterprises-Total amount (F0607_F2_RV),82378000,120965000,128085558,60169118,398064000,98478000,111813000,0
Net grant aid to students-Total amount (F0607_F2_RV),6846000,0,0,0,108588000,26148000,0,0
Hospital services-Total amount (F0607_F2_RV),0,0,0,0,0,0,1910407000,0
Independent operations-Total Amount (F0607_F2_RV),0,383847000,0,0,0,72861000,60214000,0
Operation and maintenance of plant-Total amount (F0607_F2_RV),0,0,0,0,0,0,0,0
Total expenses-Total amount (F0607_F2_RV),570838000,2688355000,1547174284,669958437,3170650000,981281000,4423621000,2108514000
Other expenses-Total amount (F0607_F2_RV),0,0,1,0,0,0,0,0
Total number of undergraduates (SFA0607_RV),6010,7302,13562,4085,6715,4790,11922,5303
Total price for out-of-state students living on campus 2007-08 (DRVIC2007),48660,49260,48151,48236,48550,47975,49080,50350
Academic support-Total amount (F0506_F2_RV),49857000,102740000,160287633,99024662,545411000,80868000,585751000,182639000
Student service-Total amount (F0506_F2_RV),48327000,51459000,99152433,70271669,100940000,75565000,41583000,293134000
Institutional support-Total amount (F0506_F2_RV),92751000,157865000,201502490,71351959,551168000,100231000,177543000,129923000
Auxiliary enterprises-Total amount (F0506_F2_RV),72153000,98283000,131655481,56431428,349366000,97206000,109820000,0
Net grant aid to students-Total amount (F0506_F2_RV),8227000,0,0,0,99574000,25873000,0,0
Hospital services-Total amount (F0506_F2_RV),0,0,0,0,0,0,1807520000,0
Independent operations-Total Amount (F0506_F2_RV),0,380334000,0,0,0,77498000,57176000,0
Operation and maintenance of plant-Total amount (F0506_F2_RV),,,,,,,,
Total expenses-Total amount (F0506_F2_RV),554135000,2540033000,1520874737,641833909,2999503000,927942000,4197595000,1963572000
Total number of undergraduates (SFA0506_RV),,,,,,,,
Total price for out-of-state students living on campus 2006-07 (DRVIC2006),46340,46874,45877,45963,46450,46080,46580,48250
Academic support-Total amount (F0405_F2_RV),48582000,95868000,144836979,74733952,399844000,67679000,617059000,171522000
Student service-Total amount (F0405_F2_RV),44342000,0,94036313,58207923,110179000,68178000,37742000,259741000
Institutional support-Total amount (F0405_F2_RV),84381000,144031000,175500102,73138868,451367000,90031000,165956000,111566000
Auxiliary enterprises-Total amount (F0405_F2_RV),66059000,106969000,134519854,56126205,322940000,87394000,106719000,0
Net grant aid to students-Total amount (F0405_F2_RV),7817000,0,0,0,94116000,24811000,24064000,0
Hospital services-Total amount (F0405_F2_RV),0,0,0,0,0,0,1613479000,0
Independent operations-Total Amount (F0405_F2_RV),0,374189000,0,0,0,78500000,59603000,0
Operation and maintenance of plant-Total amount (F0405_F2_RV),,,,,,,,
Total expenses-Total amount (F0405_F2_RV),523444000,2409267000,1409323705,595377920,2757373000,835031000,3969240000,1786940000
Total number of undergraduates (SFA0405_RV),,,,,,,,
Total price for out-of-state students living on campus 2005-06 (IC2005_AY),44280,44646,43827,43679,44350,43826,44300,44200
Academic support-Total amount (F0304_F2_RV),41793000,87122000,144732524,70560272,375129000,62544000,602754000,142671000
Student service-Total amount (F0304_F2_RV),41037000,0,89236250,54785406,119181000,29545000,37745000,228856000
Institutional support-Total amount (F0304_F2_RV),73464000,123332000,149555794,62252888,389722000,82814000,162669000,109485000
Auxiliary enterprises-Total amount (F0304_F2_RV),60724000,79754000,133520519,51191355,290980000,116396000,104926000,0
Net grant aid to students-Total amount (F0304_F2_RV),6814000,0,0,0,89414000,22828000,22178000,0
Hospital services-Total amount (F0304_F2_RV),0,0,0,0,0,0,1459940000,0
Independent operations-Total Amount (F0304_F2_RV),0,355260000,0,0,0,72629000,56098000,0
Operation and maintenance of plant-Total amount (F0304_F2_RV),0,0,0,0,0,0,0,0
Total expenses-Total amount (F0304_F2_RV),473669000,2190773000,1333276293,567318015,2560919000,789489000,3716145000,1675908000
Total number of undergraduates (SFA0304_RV),,,,,,,,
Total price for out-of-state students living on campus 2004-2005 (IC2004_AY),41538,42598,42049,41851,42450,41910,42100,41970
Student service-Total amount (F0203_F2),35120000,0,87890099,51584179,100292000,26956000,37330000,222948000
Institutional support-Total amount (F0203_F2),70765000,111895000,134220923,62134088,343546000,72547000,164855000,106886000
Auxiliary enterprises-Total amount (F0203_F2),57324000,70861000,0,50212977,308459000,111548000,96899000,0
Net grant aid to students-Total amount (F0203_F2),5931000,0,0,0,79510000,21836000,19448000,0
Hospital services-Total amount (F0203_F2),0,0,0,0,0,0,1440049000,0
Independent operations-Total Amount (F0203_F2),0,329342000,126340255,0,0,67695000,51127000,0
Operation and maintenance of plant-Total amount (F0203_F2),0,0,0,0,0,0,0,0
Total expenses-Total amount (F0203_F2),443342000,2037800000,1263190041,532636393,2432944000,725705000,3562752000,1543176000
Academic support-Total amount (F0203_F2),40644000,77305000,135796359,68143296,392261000,57939000,548198000,140827000
Total price out-of-state students living on campus 2003-2004 (IC2003_AY),39602,40140,40274,39889,40450,40170,40370,41720
